Clause,Section Title,Category,Classification,Explanation
Der Arbeitnehmer darf eine Nebenbeschäftigung während des Bestandes des Arbeitsverhältnisses nur mit vorheriger schriftlicher Zustimmung der Firma übernehmen.,8. Nebenbeschäftigung,Vertragsstrafe/Wettbewerbsverbot,0.5,"Nebenbeschäftigung ohne Genehmigung durch AG aufnehmbar, Mitteilungspflicht und Widerspruchsmöglichkeit"
Geringfügig geleistete Überstunden sind mit dem Grundlohn abgegolten. Ansonsten werden nach Absprache mit der Geschäftsleitung geleistete Überstunden oder Mehrarbeit in Freizeitausgleich abgegolten.,9. Über-/Mehrarbeit,Vergütung,0.5,unklare Regelung zu abgegoltenen Überstunden
Der Arbeitnehmer darf seine Vergütungsansprüche weder verpfänden noch abtreten.,10. Gehaltspfändungen oder Abtretung,Pfändung/Abtretung,0.5,Pfändungs-/Abtretungsverbot seit 10/2021 nach § 308 Nr. 9 lit. a BGB in AGB ausgeschlossen
Die Kündigungsfrist beträgt 1 Monat. Im Falle der Beendigung des Arbeitsverhältnisses hat der Arbeitnehmer sämtliche im Eigentum der Firma stehenden Gegenstände und Unterlagen sofort herauszugeben.,11. Beendigung des Arbeitsverhältnisses,Kündigung/Beendigung,0.5,Kündigungsschutz
"Nebenabreden und Änderungen des Vertrages bedürfen zu ihrer Rechtswirksamkeit der Schriftform. Sind einzelne Bestimmungen des Vertrages unwirksam, so wird hierdurch die Wirksamkeit des übrigen Vertrages nicht berührt.",12. Vertragsänderungen,Sonstiges,0.5,Je nach Abschluss ggf. nur noch Textform erforderlich
Schulungstage werden unendgeldlich und ohne Freizeitausgleich wahrgenommen.,13. Sonstiges,Vergütung,0.5,Schulungen im EInzelfall als Arbeitszeit
"Sollten in Zukunft allgemeine Rechte und Pflichten, die über die Regelung des Arbeitsvertrages hinausgehen, in einer Vereinbarung festgehalten werden wird diese Betriebsordnung automatisch Bestandteil des Vertrages.",14. Betriebsordnung,Sonstiges,0,
Das Arbeitsverhältnis beginnt am 01.08.14. Vor dessen Beginn ist die außerordentliche Kündigungsfrist ausgeschlossen.,1. Beginn des Arbeitsverhältnisses,Durchführung,0.5,außerordentliche Kündigung kann man nicht ausschließen.
" - wird als Mitarbeiter im Trainingsbereich des - eingestellt. Die Firma behält sich vor, dem Arbeitnehmer eine andere zumutbare Arbeit im Unternehmen zuzuweisen, die den Vorkenntnissen entspricht. Der Arbeitnehmer verpflichtet sich, die während der Tätigkeit zukommenden Aufgaben gewissenhaft und nach bestem Vermögen zu erfüllen, in jeder Hinsicht die Interessen der Firma zu wahren und die ganze Arbeitskraft ausschließlich dem Unternehmen zu widmen.",2. Tätigkeit,Leistungen,0,
"Die regelmäßige Arbeitszeit beträgt 20 Stunden wöchentlich. Der Arbeitnehmer ist verpflichtet, Wechseldienst, Sonntagsarbeit, Mehrarbeit zu leisten, soweit dies gesetzlich zulässig ist.",3. Arbeitszeit,Leistungen,0,
Der Arbeitnehmer erhält für die vertraglichen Tätigkeiten ein monatliches Bruttogehalt in Höhe von € 1240. Die Vergütung ist am letzten des Monats fällig.,4. Vergütung,Vergütung,0.5,Mindestlohn? Je nach Abschluss Arbeitsvertrag unwirksam
"Der Arbeitnehmer ist verpflichtet, dem Arbeitgeber jede Dienstverhinderung und die voraussichtliche Dauer unverzüglich anzuzeigen. Auf Verlangen sind die Gründe der Dienstverhinderung mitzuteilen. Im Falle der Erkrankung ist der Arbeitnehmer verpflichtet, vor Ablauf des 3. Kalendertages nach Beginn der Arbeitsunfähigkeit eine ärztliche Bescheinigung über die Arbeitsunfähigkeit, sowie deren voraussichtliche Dauer vorzulegen. Dauert die Arbeitsunfähigkeit länger, als in der Bescheinigung angegeben, so ist der Arbeitnehmer verpflichtet, dem Arbeitgeber unverzüglich eine Bescheinigung über die Bewilligung einer Kur oder eines Heilverfahrens vorzulegen und den Zeitpunkt des Kurantrittes mitzuteilen. Die Bescheinigung über die Bewilligung muss Angaben über die voraussichtliche Dauer der Kur enthalten. Dauert die Kur länger als in der Bescheinigung angegeben, so ist der Arbeitnehmer verpflichtet, dem Arbeitgeber unverzüglich eine weitere entsprechende Bescheinigung vorzulegen.",5. Arbeitsverhinderung,Krankheit,0.5,Ursache für Arbeitsunfähigkeit ist keine notwendige Information und ist dem AG nicht mitzuteilen
Der Arbeitnehmer erhält im Kalenderjahr einen Erholungsurlaub von 14 Arbeitstagen. Der Urlaub wird in Abstimmung mit der Firmenleitung festgelegt. Im übrigen gelten die gesetzlichen Bestimmungen.,6. Urlaub,Urlaub,0.5,Einhaltung Mindesturlaub? Prüfung Umfang Wochenstunden
"Der Arbeitnehmer verpflichtet sich, über alle Angelegenheiten und Vorgänge, die im Rahmen der Tätigkeit zur Kenntnis gelangen, auch nach dem Ausscheiden aus dem Arbeitsverhältnis Stillschweigen zu bewahren. Die Verschwiegenheitspflicht erstreckt sich, über alle Arbeitskollegen und Kunden. Die betrieblichen Sicherheitsbestimmungen sind zu beachten, vertraulich und geheimzuhaltende Schriftstücke usw. sind unter dem vorgeschriebenen Verschluss zu halten.",7. Verschwiegenheitspflicht,Vertragsstrafe/Wettbewerbsverbot,0,
Der Arbeitnehmer darf eine Nebenbeschäftigung während des Bestandes des Arbeitsverhältnisses nur mit vorheriger schriftlicher Zustimmung der Firma übernehmen.,8. Nebenbeschäftigung,Vertragsstrafe/Wettbewerbsverbot,0.5,"Nebenbeschäftigung ohne Genehmigung durch AG aufnehmbar, Mitteilungspflicht und Widerspruchsmöglichkkeit"
Geringfügig geleistete Überstunden sind mit dem Grundlohn abgegolten. Ansonsten werden nach Absprache mit der Geschäftsleitung geleistete Überstunden oder Mehrarbeit in Freizeitausgleich abgegolten.,9. Über-/Mehrarbeit,Vergütung,0.5,unklare Regelung zu abgegoltenen Überstunden
Der Arbeitnehmer darf seine Vergütungsansprüche weder verpfänden noch abtreten.,10. Gehaltspfändungen oder Abtretung,Pfändung/Abtretung,0.5,Pfändungs-/Abtretungsverbot seit 10/2021 nach § 308 Nr. 9 lit. a BGB in AGB ausgeschlossen
Die Kündigungsfrist beträgt 1 Monat. Im Falle der Beendigung des Arbeitsverhältnisses hat der Arbeitnehmer sämtliche im Eigentum der Firma stehenden Gegenstände und Unterlagen sofort herauszugeben.,11. Beendigung des Arbeitsverhältnisses,Kündigung/Beendigung,1,Kündigungsschutz
"Nebenabreden und Änderungen des Vertrages bedürfen zu ihrer Rechtswirksamkeit der Schriftform. Sind einzelne Bestimmungen des Vertrages unwirksam, so wird hierdurch die Wirksamkeit des übrigen Vertrages nicht berührt.",12. Vertragsänderungen,Form,0.5,Je nach Abschluss Vertrag nur noch Textform erforderlich
Schulungstage werden unendgeldlich und ohne Freizeitausgleich wahrgenommen.,13. Sonstiges,Vergütung,1,Schulungen im EInzelfall als Arbeitszeit
"Sollten in Zukunft allgemeine Rechte und Pflichten, die über die Regelung des Arbeitsvertrages hinausgehen, in einer Vereinbarung festgehalten werden, wird diese Betriebsordnung automatisch Bestandteil des Vertrages",14. Betriebsordnung,Sonstiges,0,
Die ersten sechs Monate gelten als Probezeit. Nach Ablauf der Probezeit kann das Arbeitsverhältnis unter Wahrung der gesetzlichen Fristen gekündigt werden.,"1.2 Beginn des Arbeitsverhältnisses, und das Probezeit",Kündigung/Beendigung,0,"§ 622 III: maximale Probezeit von 6 Monaten, Kündigungsfrist 2 Wochen"
Mit dem Bruttomonatsgehalt nach Abs. (1) sind Überstunden und Mehrarbeit pro Woche mit abgegolten.,3.2 Vergütung,Vergütung,1,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig
"Werden Weihnachtsgeld oder sonstige Gratifikationen, welche auch in Form von Sachleistungen erfolgen können, gewährt, stellen diese freiwilligen Leistungen des Arbeitgebers dar, die auch bei mehrmaliger vorbehaltsloser Gewährung keinen Rechtsanspruch für die Zukunft begründen.",3.3 Vergütung,Vergütung,0,
Das Arbeitsverhältnis beginnt am -.,"1(1) BEGINN DES ÄRBE.ITSVERHÄLTNISSES, UND DAS PROBEZEIT",Durchführung,0,
Der Arbeitnehmer wird als Engineer eingestellt.,2(1) TÄTIGKEIT ,Durchführung,0,
"Die Firma behält sich vor, der Arbeitnehmerin unter Wahrung der Interessen der Arbeitnehmerin auch andere gleichwertige ihrer Vorbildung und ihrer Fähigkeit entsprechenden und zumutbaren Aufgaben zu übertragen.",2(2) TÄTIGKEIT,Leistungen,0,
"Der feste Arbeitsort ist Berlin, wobei mögliche Dienstreisen zu dem Aufgabenfeld gehören.",2(3) TÄTIGKEIT,Leistungen,0,
"Der Arbeitnehmer erhält für seine vertragliche Tätigkeit ein Bruttomonatsgehalt in Höhe von 7.500,00 Euro, das jeweils am Kalendermonatsende unter Einbehalt der gesetzlichen Abzüge auf das vom Arbeitnehmer anzugebende Konto überwiesen wird.",3(1) VERGÜTUNG,Vergütung,0,
Die durchschnittliche regelmäßige Arbeitszeit ausschließlich der Pausen beträgt 40 Stunden pro Woche. Bei Teilzeitmitarbeitern wird die Arbeitszeit entsprechend angepasst.,"4(1) ARBEITSZEIT, ÜBERARBEIT UND MEHRARBEIT",Leistungen,0,
Die Einteilung der Arbeitszeit richtet sich nach den betrieblichen Regelungen unter besonderer Berücksichtigung der Erfordernisse der Arbeitgeber.,"4(2) ARBEITSZEIT, ÜBERARBEIT UND MEHRARBEIT",Durchführung,0,
"Die Arbeitnehmerin ist verpflichtet, nur auf Anweisung des Arbeitgebers oder nach vorheriger Absprache mit direkten Vorgesetzten, Überstunden und Mehrarbeit, sowie Wochenend-, Sonn- und Feiertagsarbeit sowie Nachtarbeit im gesetzlich zulässigen Rahmen zu leisten.","4(3) ARBEITSZEIT, ÜBERARBEIT UND MEHRARBEIT",Überstunden,0,
"Der Arbeitnehmer ist verpflichtet, jede Arbeitsverhinderung und ihre voraussichtliche Dauer unverzüglich dem Arbeitgeber anzuzeigen sowie auf Verlangen des Arbeitgebers die Gründe der Arbeitsverhinderung mitzuteilen.",5(1) ARBEITSVERHINDERUNG UND VERGÜTUNGSFORTZAHLUNG IM KRANKHEITSFALL,Krankheit,0.5,Genauer Grund für Abwesenheit (Diagnose/Erkrankung) muss dem AG nicht mitgeteilt werden
"Im Falle der Arbeitsunfähigkeit infolge Krankheit ist der Arbeitnehmer verpflichtet, vor Ablauf des dritten Tages der Arbeitsunfähigkeit eine ärztliche Bescheinigung über die Arbeitsunfähigkeit sowie über deren voraussichtliche Dauer vorzulegen. Dauert die Arbeitsunfähigkeit länger als in der Bescheinigung angegeben, so ist der Arbeitnehmer verpflichtet, die Fortdauer der Arbeitsunfähigkeit dem Arbeitgeber unverzüglich anzuzeigen und spätestens am ersten Tag des verlängerten Krankheitszeitraums eine neue ärztliche Bescheinigung vorzulegen. Der Arbeitgeber kann im Einzelfall auch eine frühere Vorlage einer Arbeitsunfähigkeitsbescheinigung verlangen.",5(2) ARBEITSVERHINDERUNG UND VERGÜTUNGSFORTZAHLUNG IM KRANKHEITSFALL,Krankheit,0,
"Der Arbeitnehmer hat jährlich Anspruch auf 24 Urlaubstage, oder 4.8 Arbeitswochen, bei Zugrundelegung einer Fünftagewoche.",6(1) URLAUB,Urlaub,0,
Urlaub von einem Urlaubstag oder mehr ist zwei Wochen vor dem geplanten Urlaubsantritt bei der Geschäftsführung zu beantragen.,6(2) URLAUB,Urlaub,0,
Der Zeitpunkt des Urlaubs ist jeweils rechtzeitig mit dem Arbeitgeber abzustimmen und sollte nicht in Zeiten von intensiver Geschäftstätigkeit fallen.,6(3) URLAUB,Urlaub,0,
Es sind dabei saisonale betriebliche Erfordernisse zu berücksichtigen. In dieser Zeit ist Freizeitausgleich ausgeschlossen.,6(4) URLAUB,Urlaub,0.5,Pauschaler Ausschluss für Freizeitausgleich
Während der Dauer des Arbeitsverhältnisses ist jede entgeltliche oder unentgeltliche Nebentätigkeit nur mit Zustimmung des Arbeitgebers zulässig.,7(1) NEBENTÄTIGKEIT,Vertragsstrafe/Wettbewerbsverbot,0.5,"Nebenbeschäftigung ohne Genehmigung durch AG aufnehmbar, Mitteilungspflicht und Widerspruchsmöglichkkeit"
"Die Zustimmung ist zu erteilen, wenn die Nebentätigkeit die dienstlichen Aufgaben nicht behindert, nicht im Wettbewerb mit der Geschäftstätigkeit oder der nachweislich voraussehbaren Geschäftstätigkeit des Arbeitgebers steht und sonstige berechtigte Interessen des Arbeitgebers nicht beeinträchtigt werden.",7(2) NEBENTÄTIGKEIT,Vertragsstrafe/Wettbewerbsverbot,0,
"Das Arbeitsverhältnis endet mit Ablauf des Monats, in dem der Arbeitnehmer das gesetzliche Regelrenteneintrittsalter erreicht.",8(1) BEENDIGUNG DES ARBEITSVERHÄLTNISSES,Kündigung/Beendigung,0,
"Für die Beendigung des Anstellungsverhältnisses gelten die gesetzlichen Kündigungsfristen, jedoch mit Ausnahme der Probezeit, in der eine Kündigung mit einer Frist von zwei Wochen jederzeit möglich ist.",8(2) BEENDIGUNG DES ARBEITSVERHÄLTNISSES,Kündigung/Beendigung,0,
"Der Arbeitgeber ist berechtigt, den Arbeitnehmer mit Ausspruch der Kündigung – gleichgültig von welcher Seite – unter Fortzahlung der Bezüge von der Arbeitsleistung freizustellen, wenn ein sachlicher Grund, insbesondere ein grober Vertragsverstoß, der die Vertrauensgrundlage beeinträchtigt (zB Geheimnisverrat, Konkurrenztätigkeit), gegeben ist. Die Freistellung erfolgt unter Anrechnung auf den Erholungsurlaub, soweit dem keine schutzwürdigen Belange des Arbeitnehmers entgegenstehen.",8(3) BEENDIGUNG DES ARBEITSVERHÄLTNISSES,Kündigung/Beendigung,0,
"Der Arbeitnehmer verpflichtet sich, auf Verlangen des Arbeitgebers jederzeit oder unaufgefordert beim Ausscheiden aus dem Arbeitsverhältnis sämtliche betriebliche Arbeitsmittel, Unterlagen, Datenträger, Passwörter und Cloud-Zugriffe und Aufzeichnungen sowie etwaige angefertigte Abschriften oder Kopien an den Arbeitgeber herauszugeben. Ein Zurückbehaltungsrecht steht dem Arbeitnehmer nicht zu.",8(4) BEENDIGUNG DES ARBEITSVERHÄLTNISSES,Sonstiges,0,
"Die separate Vereinbarung, - , angehängt als Annex 1, zur Übertragung von Rechten an geistigem Eigentum ist Bestandteil dieses Arbeitsvertrages. Der Arbeitnehmer muss diese Vereinbarung gesondert unterzeichnen.","(9) ARBEITSERGEBNISSE, URHEBERRECHTE UND VERWANDTE SCHUTZRECHTE",Sonstiges,0,
"Der Arbeitnehmer ist damit einverstanden, dass während der Dauer seiner Anstellung bei dem Arbeitnehmer (unabhängig davon, ob während der Geschäftszeiten oder nicht) Tätigkeiten auszuüben, die in irgendeiner Weise mit dem Geschäft oder dem nachweislich erwarteten Geschäft der Gesellschaft konkurrieren, und wird keiner anderen Person oder Organisation dabei helfen, mit einem Geschäft oder einem nachweislich erwarteten Geschäft der Gesellschaft zu konkurrieren oder sich darauf vorzubereiten.",10(1) WETTBEWERBS- UND ABWERBEVERBOTE,Vertragsstrafe/Wettbewerbsverbot,0,
"Dem Arbeitnehmer ist es untersagt, während der Dauer von einem Jahr nach Beendigung des Arbeitsverhältnisses irgendeinen anderen Arbeitnehmer oder Berater des Arbeitgebers für Dritte abzuwerben. Für jeden Fall der Zuwiderhandlung gegen dieses Abwerbeverbot hat der Arbeitnehmer eine Vertragsstrafe in Höhe des letzten Bruttomonatsgehalts zu zahlen.",10(2) WETTBEWERBS- UND ABWERBEVERBOTE,Vertragsstrafe/Wettbewerbsverbot,0.5,Höhe Vertragsstrafe ggf. zu prüfen mit Gehalt
"Der Arbeitgeber kommt seinen rechtlichen Datenschutzpflichten einschließlich der EU Datenschutzgrundverordnung (DSGV) vollumfänglich nach. Der Arbeitnehmer nimmt hiermit zur Kenntnis, dass der Arbeitgeber und seine verbundenen Unternehmen sensible persönliche Daten des Arbeitnehmers im Zusammenhang mit dem Beschäftigungsverhältnis zu administrativen, rechtlichen oder Sicherheitszwecken speichern und verwenden darf.",11(1) PRIVATSPHÄRE UND DATENSCHUTZ,Durchführung,0,
"Beide Seiten vereinbaren, alle persönlichen Daten und das Recht auf Privatsphäre zu respektieren. Der Arbeitgeber versichert, technische und organisatorische Maßnahmen zum Schutz gegen ungenehmigten oder unrechtmäßigen Zugang zu persönlichen Daten sowie gegen versehentlichen Verlust oder Schaden von persönlichen Daten zu treffen. Der Arbeitgeber verpflichtet sich, angemessenen Aufforderungen des Arbeitnehmers zur Einhaltung der in diesem Paragraphen enthaltenen Maßnahmen nachzukommen.",11(2) PRIVATSPHÄRE UND DATENSCHUTZ,Durchführung,0,
"Der Arbeitnehmer nimmt zur Kenntnis, dass der Arbeitgeber und seine verbundenen Unternehmen ggf. solche Daten mit Mitarbeitern teilen oder Dienstleistern innerhalb der  Europäischen Union oder den Vereinigten Staaten von Amerika übermitteln darf, sofern die Weitergabe oder Übermittlung aus Sicht des Arbeitgebers für das ordentliche Geschäftsgebaren nötig ist (einschließlich aber nicht beschränkt auf Anbieter von Lohn- und Gehaltsabrechnung, steuerlichen und rechtlichen Dienstleistungen und Sicherheitsdiensten). Der Arbeitnehmer stimmt der Verarbeitung, Weitergabe und Übermittlung solcher Informationen zu.",11(3) PRIVATSPHÄRE UND DATENSCHUTZ,Durchführung,0.5,ggf. Transparenzgebot problematisch. Einverständnis erst im letzten Satz
"Dieser Arbeitsvertrag beinhaltet die gesamte Arbeitsvereinbarung und das Einverständnis der Parteien. Alle vorherigen Arbeitsverträge oder Dienstleistungsvereinbarungen, die mit dem Arbeitgeber oder seine verbundenen Unternehmen abgeschlossen wurden, sind mit dem Einverständnis beider Parteien ausdrücklich gekündigt und unwirksam mit Inkrafttreten dieses Arbeitsvertrags.",12(1) NEBENABREDEN,Sonstiges,0,
Mündliche Nebenabreden bestehen nicht. Änderungen und Ergänzungen dieses Arbeitsvertrages bedürfen zu ihrer Wirksamkeit der Schriftform. Dies gilt auch für die Aufhebung und Änderung dieser Schriftformklausel. Ausgeschlossen sind damit Vertragsänderungen durch Unternehmenspraktiken.,12(2) NEBENABREDEN,Form,0.5,Je nach Abschluss des Vertrages nur noch Textform nötig.
Der Vorrang von individuellen mündlichen Vertragsabreden zwischen den Parteien nach Vertragsabschluss (§ 305 b BGB) bleibt unberührt.,12(3) NEBENABREDEN,Sonstiges,0,
"Sollten einzelne Bestimmungen dieses Vertrages ganz oder teilweise nicht rechtswirksam oder nicht durchführbar sein oder ihre Rechtswirksamkeit später verlieren, so berührt dies die Gültigkeit der anderen Vertragsbestimmungen nicht. Anstelle der unwirksamen oder undurchführbaren Bestimmungen soll eine angemessene Regelung gelten, die – soweit rechtlich möglich – dem am nächsten kommt, was die Vertragsschließenden gewollt haben oder nach dem Sinn und Zweck dieses Vertrages gewollt haben würden, sofern sie bei Abschluss dieses Vertrages diesen Punkt bedacht hätten.",13(1) SCHLUSSBESTIMMUNGEN,Sonstiges,0,
Dieser Arbeitsvertrag unterliegt dem Recht der Bundesrepublik Deutschland.,13(2) SCHLUSSBESTIMMUNGEN,Sonstiges,0,
Die deutsche Fassung dieser Arbeitsvertrag ist maßgeblich. Die englische Fassung dient nur zu Informationszwecken.,13(3) SCHLUSSBESTIMMUNGEN,Sonstiges,0,
"Mit der Zahlung der vorgenannten Bezüge sind etwaige tarifliche Ansprüche z.B. auf Urlaubsgeld, Sonderzahlung, Leistung nach dem Tarifvertrag über altersvorsorgewirksame bzw. vermögenswirksame Leistungen oder auf die Vergütung von Mehr-, Spät-, Nachts-, Sonntags- und Feiertagsarbeit abgegolten. Die obigen Entgeltregelungen beinhalten diese genannten Leistungen.",4. Entgelt,Vergütung,1,Umfang von > 8 Stunden als abgegoltene Überstunden ist unzulässig
Ihr Einsatz erfolgt als Gebietsverkaufsleiter im - für die Region -. Die Beschreibung der Abgrenzung Ihres Reisegebietes (Anlage 1) sowie Ihrer Funktion und der durch Sie zu betreuenden Produkt- und Kundengruppen liegt dieser Vereinbarung bei (Anlage 2).,1. Funktion,Leistungen,0,
"Wir behalten uns vor, diesen Bezirk bzw. Ihre Funktion aus sachlichen Gründen z.B. einschlägigen Veränderungen im Vertriebsweg, im Sortiment oder in der Vertriebsstrategie bzw. bei wesentlichen Änderungen in der erwarteten wirtschaftlichen Entwicklung mit einer Ankündigungsfrist von 3 Monaten zum Monatsende zu erweitern oder einzuschränken bzw. Ihnen einen anderen Bezirk oder eine andere Funktion zu übertragen, sofern dies den geschäftlichen Erfordernissen entspricht und im Rahmen des Zumutbaren liegt. Sollten sich hieraus Einkommensverluste ergeben, gewähren wir für die folgenden 12 Monate einen Einkommensausgleich. Dieser Einkommensausgleich erfolgt in Höhe der Durchschnittsprovision der letzten 12 abgerechneten Monate, die in dem abgegebenen Gebiet bzw. der abgegebenen Funktion erzielt wurde, vermindert um die entsprechend errechnete Durchschnittsprovision einer evtl. Gebiets- bzw. Funktionserweiterung.",1. Funktion,Vergütung,0.5,Einschränkung Gebiet hier ggf. problematisch.
"Sie verpflichten sich, der Ihr ganzes Wissen und Können sowie Ihre volle Arbeitskraft zur Verfügung zu stellen und die Interessen der in jeder Weise zu fördern. Die - ist berechtigt, Ihnen in begründeten Fällen andere zumutbare Tätigkeiten zu übertragen oder Sie an einem anderen zumutbaren Arbeitsplatz einzusetzen.",1. Funktion,Leistungen,0,
"Sie sind verpflichtet. Ihren Bezirk entsprechend den Weisungen der intensiv zu bearbeiten, Kunden regelmäßig zu besuchen und aktive Neukundenakquise zu betreiben. Sie haben laufend über die allgemeine Marktentwicklung sowie über die Verhältnisse der einzelnen Kunden, insbesondere deren Bonität, zu unterrichten. Zu Ihrer Aufgabe gehört ebenfalls die Beobachtung der Wettbewerber der im Markt. Wir können die Ausführungen einzelner, von Ihnen entgegengenommener Bestellungen wegen mangelnder Sicherheit oder aus anderen triftigen Gründen jederzeit ablehnen, ohne dass Sie daraus Ansprüche ableiten können.",1. Funktion,Leistungen,0,
"Der Verkauf an private Abnehmer ist Ihnen untersagt, gleichfalls jede Tätigkeit für andere Firmen, es sei denn, es handelt sich um Firmen, mit denen die - im Vertrieb von Produkten des Verkaufsprogramms kooperiert. Untersagt ist ferner jeder unmittelbare und mittelbare Wettbewerb gegenüber Sie dürfen weder innerhalb noch außerhalb des Ihnen zugewiesenen Bezirks für einen Dritten, der gleiche oder gleichartige Erzeugnisse herstellt oder vertreibt, unmittelbar oder mittelbar tätig werden. Nehmen enge Familienangehörige von Ihnen den Produktvertrieb von Konkurrenten auf, so wird vermutet, dass Sie bei diesem Vertrieb mitwirken.",1. Funktion,Sonstiges,0.5,Hereinnahme Familienangehörige ggf. zu weitgegehend.
"Reisen (Besuche in - Teilnahme an Messen usw.), die nicht unmittelbar im Zusammenhang mit geschäftlichen Erfordernissen stehen, bedürfen der vorherigen Genehmigung durch Ihren Vorgesetzten.",1. Funktion,Durchführung,0,
Für weitere Einzelheiten Ihrer Reisetätigkeit gelten die mündlichen Anweisungen und schriftlichen Richtlinien der Verkaufsleitung.,1. Funktion,Sonstiges,0,
Das Arbeitsverhältnis begann am 01.06.2017. Es ist auf unbestimmte Zeit abgeschlossen.,2. Vertragsdauer,Durchführung,0,
"Die Kündigungsfrist beträgt 3 Monate zum Quartalsende. Sofern nach dem § 4 des Manteltarifvertrag der Metallindustrie Nordwürttemberg/Nordbaden für Sie günstigere Vorschriften bestehen, gelten diese. Die Kündigung bedarf der Schriftform. Die ist berechtigt Sie ab Ausspruch der Kündigung bis zum Ablauf der Kündigungsfrist und ggf. bis zum rechtskräftigen Abschluss eines etwaigen Rechtsstreits über die Wirksamkeit der Kündigung ganz oder teilweise widerruflich oder unwiderruflich von der Arbeit freizustellen. Vergütungsansprüche bleiben während der Freistellung erhalten soweit die gesetzlichen Voraussetzungen des Annahmeverzugs gemäß § 615 BGB erfüllt sind.",2. Vertragsdauer,Kündigung/Beendigung,0,mehr als gesetzliche Regelung möglich
"Das Arbeitsverhältnis endet mit Ablauf des Monats, in dem Sie das 63. Lebensjahr vollenden. Voraussetzung ist, dass Sie zu diesem Zeitpunkt die Altersrente für langjährig Versicherte (§ 36 SGB VI) in Anspruch nehmen können. Sie verpflichten sich innerhalb von 6 Monaten nach Vollendung des 60. Lebensjahres zu erklären, ob es bei dem vereinbarten Ende des Arbeitsverhältnisses bleibt (§ 41 Satz 2 SGB VI). Erklären Sie dies nicht, endet das Arbeitsverhältnis mit Erreichen der Regelaltersgrenze.",2. Vertragsdauer,Kündigung/Beendigung,0.5,Je nach Vertragsabschluss und Geburtenjahrgang AN ggf. unwirksam
"Wir vereinbaren mit Ihnen die jeweils gültige tarifliche wöchentliche Regelarbeitszeit. Von Arbeitsversäumnissen, insbesondere Erkrankungen, ist Ihr Vorgesetzter unverzüglich zu unterrichten.",3. Arbeitszeit,Leistungen,0,
"Sie gehören zum Kreis der übertariflichen Angestellten. Sie erhalten Monatsbezüge in Höhe von 4.951,76 Euro brutto die entsprechend den tarifvertraglichen Entwicklungen in der Zukunft angepasst werden. Sie erhalten zusätzlich eine vom Umsatz abhängige Provision bzw. ziel- bzw. leistungsorientierte Prämie. Hierbei wird Ihr durchschnittliches Einkommen abgesichert, was derzeit einem Jahreseinkommen von 68.334,-- Euro entspricht und entsprechend den tarifvertraglichen Entwicklungen in der Zukunft angepasst wird.",4. Entgelt,Vergütung,0,
"Über die im Folgenden aufgeführten allgemeinen Provisions- bzw. Prämiengrundsätze hinaus erhalten Sie eine Provisions- bzw. Prämienvereinbarung sowie eine jährlich mit Ihnen zu vereinbarende Zielvereinbarung (Anlage 3). Mit der Zahlung der vorgenannten Bezüge sind etwaige tarifliche Ansprüche z.B. auf Urlaubsgeld. Sonderzahlung, Leistung nach dem Tarifvertrag über altersvorsorgewirksame bzw. vermögenswirksame Leistungen oder auf die Vergütung von Mehr-, Spät-, Nachts-, Sonntags- und Feiertagsarbeit abgegolten. Die obigen Entgeltregelungen beinhalten diese genannten Leistungen.",4. Entgelt,Vergütung,0.5,Pauschale Abgeltung unzulässig.
" - zahlt Provision für alle von Ihnen vermittelten Geschäfte mit von der produzierten oder vertriebenen Waren. Hierüber erhalten Sie eine Provisions- bzw. Prämienvereinbarung, die Bestandteil dieses Vertrages ist. Der Anspruch auf Provision entsteht aus Bestellungen, die während des Arbeitsverhältnisses von Ihnen an uns direkt vermittelt wurden sowie für von Ihnen im Rahmen Ihrer zugeordneten Aufgaben vermittelten Geschäfte, die von Kunden unmittelbar bei eingehen. Ein Provisionsanspruch wird nur unter der Bedingung erworben, dass das von ausgeführte provisionspflichtige Geschäft vom Kunden erfüllt ist. Alle nachträglichen Minderungen des Entgelts, zu denen sich gegenüber Kunden veranlasst sieht, müssen Sie gegen sich gelten lassen. Zu einer Belastung Ihres Provisionskontos führen auch Warenrücksendungen, die den Kunden gutgeschrieben werden.",5. Provision,Vergütung,0,
"Die - ist im zumutbaren Rahmen berechtigt, das Provisions- bzw. Prämiensystem sowie die bestehenden Provisionssätze aus sachlichen Gründen wie z.B. bei einschlägigen Veränderungen im Vertriebsweg, im Sortiment, in der Vertriebsstrategie oder bei wesentlichen Änderungen in der erwarteten wirtschaftlichen Entwicklung neu festzusetzen. Dies gilt auch, wenn das Provisionssystem eines Vertriebsweges für die Gebietsverkaufsleiter dieses Vertriebsweges zu einer Gesamtvergütung führt, die im Verhältnis zu den mit Festbezügen beschäftigten Mitarbeitern der unverhältnismäßig hoch ist.",5. Provision,Vergütung,0,
Ansprüche aus Provisions- bzw. Prämienregelungen sind innerhalb 6 Monaten nach Fälligkeit spätestens jedoch innerhalb von 3 Monaten nach Beendigung des Arbeitsverhältnisses geltend zu machen.,5. Provision,Verjährung,0.5,Ggf. hier widersprüchlich mit Ausschlussfristen in extra klausel
Ihre Monatsbezüge werden jeweils zum Monatsende auf ein von Ihnen zu benennendes Bankkonto überwiesen.,5. Provision,Durchführung,0,
